transaction_id,customer_id,purchase_date,order_value,num_items,payment_method,channel,store_id,product_category
TXN-8T386S2X17M8,CUST-10005135,2025-10-13,22.52,2,credit_card,store,STORE-387,Grocery
TXN-SUPOOT9ZI7Z4,CUST-10006516,2025-09-28,67.52,7,gift_card,online,ONLINE,Toys
TXN-KTSX3X8A2ZZB,CUST-10006471,2026-05-28,27.54,1,debit_card,store,STORE-363,Outdoor
TXN-SGJ7NRO3QTIO,CUST-10003007,2025-11-28,141.0,5,cash,online,ONLINE,Beauty
TXN-739J2RPLUIIF,CUST-10004488,2026-01-13,424.03,8,debit_card,online,ONLINE,Electronics
TXN-G5Z4LGED809O,CUST-10006460,2025-05-08,63.46,7,debit_card,online,ONLINE,Footwear
TXN-ZWB2ANIQ21JR,CUST-10008280,2026-06-10,581.8,7,gift_card,online,ONLINE,Outdoor
TXN-G8XQAGMG8USZ,CUST-10008887,2025-12-30,192.85,1,gift_card,online,ONLINE,Electronics
TXN-WGGZ5ZAHYD2G,CUST-10005522,2026-01-29,145.64,6,cash,store,STORE-009,
TXN-K8GPDT4WNGKH,CUST-10007710,2025-11-14,167.47,1,debit_card,store,STORE-135,Footwear
TXN-DLK8G8T2WWEA,CUST-10003619,2025-04-06,272.05,2,debit_card,store,STORE-114,Electronics
TXN-0WLU5202G9JE,CUST-10001712,2026-02-14,163.56,8,gift_card,store,STORE-013,Home
TXN-TCAEIYFOWYZ4,CUST-10000116,2025-07-03,157.99,4,gift_card,store,STORE-173,Grocery
TXN-M2ZX5F4BEKXS,CUST-10009008,2025-10-01,57.79,1,cash,online,ONLINE,Electronics
TXN-BEH8VXNU8PRP,CUST-10004321,2025-11-23,270.8,4,cash,online,ONLINE,Footwear
TXN-DOHQ5Q43JE3I,CUST-10008168,2025-11-02,157.6,3,debit_card,online,ONLINE,Apparel
TXN-DF73B7ING0PS,CUST-10001552,2025-08-05,195.73,5,debit_card,online,ONLINE,Toys
TXN-K1RTCHHPCVYN,CUST-10005884,2025-12-12,247.23,6,debit_card,store,STORE-264,Outdoor
TXN-XP40CUI3Z2EV,CUST-10009390,2025-08-28,228.61,9,cash,online,ONLINE,Beauty
TXN-F2RYILT315TP,CUST-10004348,2026-04-13,109.11,8,cash,store,STORE-377,Electronics
TXN-68ZTGGQZHTCV,CUST-10002120,2026-03-01,107.94,5,debit_card,store,STORE-323,Toys
TXN-ND1QBLXY2OYP,CUST-10002334,2026-01-15,,5,cash,store,STORE-163,Grocery
TXN-WWORDAARGQ84,CUST-10003103,2025-06-23,211.84,7,cash,online,ONLINE,Footwear
TXN-RH6SK5V04O81,CUST-10008313,2026-01-07,231.29,2,debit_card,store,STORE-397,Beauty
TXN-V8KR9ZOFUU8E,CUST-10004415,2025-04-16,133.69,8,credit_card,online,ONLINE,Footwear
TXN-I6T9SYBPMKP9,CUST-10003344,2025-12-09,62.1,4,debit_card,store,STORE-260,Beauty
TXN-EHQ4M58J278X,CUST-10004936,2026-05-16,225.43,2,credit_card,store,STORE-242,Outdoor
TXN-OF8PVPHMYLU7,CUST-10007988,2025-05-01,533.9,9,gift_card,store,STORE-039,Toys
TXN-VRP0UQ47HYTZ,CUST-10001243,2025-05-17,198.57,7,debit_card,online,ONLINE,Footwear
TXN-2U18QEHPTIYE,CUST-10001663,2026-02-23,283.65,4,debit_card,store,STORE-382,Toys
TXN-8EQRP1KO1GPQ,CUST-10001195,2025-05-30,543.6,8,credit_card,online,ONLINE,Home
TXN-2WBK0VIKZXPS,CUST-10002929,2025-04-23,260.91,1,cash,store,STORE-299,
TXN-WMBGLM18PQAE,CUST-10001248,2025-11-25,148.29,9,debit_card,online,ONLINE,Toys
